ingredient,recipe_name,knowledge_id,steps,tips,source_name,verified_date,產地,有效期限
"泡菜,白飯,雞蛋,蔥",韓式泡菜炒飯,KB-R015,"泡菜切小段；雞蛋打散；蔥切末|先炒熟雞蛋後盛起|泡菜下鍋炒香後加入白飯炒散|放回雞蛋與蔥花拌炒均勻",泡菜汁可少量加入增加風味,專題團隊審核食譜庫,2026-06-20,依各食材包裝標示,依各食材保存期限判定
"吐司,雞蛋,火腿,生菜",三明治,KB-R016,"雞蛋煎熟；火腿加熱；生菜洗淨瀝乾|吐司依序放上生菜火腿與雞蛋|蓋上另一片吐司並輕壓|對切後即可食用",生菜瀝乾可避免吐司受潮,專題團隊審核食譜庫,2026-06-20,依各食材包裝標示,依各食材保存期限判定
"優格,香蕉,蘋果,燕麥",水果優格碗,KB-R017,"香蕉與蘋果切成適口大小|碗中放入優格|鋪上香蕉蘋果與燕麥|食用前拌勻",燕麥最後加入可保留口感,專題團隊審核食譜庫,2026-06-20,依各食材包裝標示,依各食材保存期限判定
"雞胸肉,生菜,玉米,番茄",雞胸肉沙拉,KB-R018,"雞胸肉煎熟後靜置再切片|生菜與番茄洗淨切好|玉米瀝乾|所有食材放入碗中並搭配適量醬汁",雞胸肉中心需完全熟透,專題團隊審核食譜庫,2026-06-20,依各食材包裝標示,依各食材保存期限判定
"豆腐,絞肉,辣豆瓣醬,蔥",麻婆豆腐,KB-R019,"豆腐切丁；蔥切末|絞肉炒至變色|加入辣豆瓣醬炒香並加少量水|放入豆腐小火煮入味後撒蔥花",豆腐下鍋後輕推避免碎裂,專題團隊審核食譜庫,2026-06-20,依各食材包裝標示,依各食材保存期限判定
"白飯,雞蛋,雞肉,洋蔥,醬油",親子丼,KB-R020,"雞肉與洋蔥切片；雞蛋打散|洋蔥與雞肉加少量水及醬油煮熟|倒入大部分蛋液稍微凝固|加入剩餘蛋液後關火並盛在白飯上",蛋液分兩次加入能保留滑嫩口感,專題團隊審核食譜庫,2026-06-20,依各食材包裝標示,依各食材保存期限判定
"高麗菜,雞蛋,麵粉,豬肉",大阪燒,KB-R021,"高麗菜切絲並與麵粉雞蛋拌成麵糊|平底鍋鋪上麵糊與豬肉|中小火煎至底面定型|翻面煎熟後再翻回盛盤",翻面前確認底部定型避免散開,專題團隊審核食譜庫,2026-06-20,依各食材包裝標示,依各食材保存期限判定
"香蕉,燕麥,雞蛋,牛奶",香蕉燕麥煎餅,KB-R022,"香蕉壓成泥|加入燕麥雞蛋與牛奶拌勻|平底鍋小火倒入麵糊|兩面煎至金黃熟透",使用熟香蕉甜度較高可不額外加糖,專題團隊審核食譜庫,2026-06-20,依各食材包裝標示,依各食材保存期限判定
"地瓜,雞胸肉,青菜,雞蛋",地瓜雞肉碗,KB-R023,"地瓜切塊蒸熟；雞胸肉切片|雞胸肉煎至完全熟透|青菜燙熟或炒熟|將地瓜雞肉青菜與雞蛋分區盛入碗中",可先批次蒸地瓜縮短準備時間,專題團隊審核食譜庫,2026-06-20,依各食材包裝標示,依各食材保存期限判定
"玉米,牛奶,奶油,洋蔥",玉米濃湯,KB-R024,"洋蔥切丁後以奶油炒軟|加入玉米與適量水煮滾|倒入牛奶並以小火加熱|攪拌至濃稠後調味",牛奶加入後避免大火沸騰,專題團隊審核食譜庫,2026-06-20,依各食材包裝標示,依各食材保存期限判定
"白飯,鮭魚,海苔,茶",鮭魚茶泡飯,KB-R025,"鮭魚煎熟後去刺並剝成小塊|白飯盛入碗中並鋪上鮭魚|撒上海苔|沿碗邊倒入熱茶即可",確認鮭魚魚刺已完全去除,專題團隊審核食譜庫,2026-06-20,依各食材包裝標示,依各食材保存期限判定
